"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__forwarded_from","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__width","messages__height","messages__text","messages__text__type","messages__text__text","messages__photo","messages__edited","messages__reply_to_message_id","messages__text__href","messages__actor","messages__actor_id","messages__action","messages__message_id","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen"
"NEXTA Live","public_channel","10003210496","7734","message","2020-08-14T01:43:53","NEXTA Live","10003210496","TUT.BY новости","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","12","576","1024","МЭТЗ бастует.","","","","","","","","","","","","","","","",""
"","","","7735","message","2020-08-14T01:46:24","NEXTA Live","10003210496","","","","","","","","","⚡️","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","bold","БМЗ ВСТАЛ НА ЗАБАСТОВКУ!","","","","","","","","","","","","","",""
"","","","7736","message","2020-08-14T01:59:57","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","12","320","560","4-я больница и РНПЦ Кардиологии уже вышли на забастовку!","","","","","","","","","","","","","","","",""
"","","","7737","message","2020-08-14T02:12:11","NEXTA Live","10003210496","","","","","","","958","1280","В Белоозёрске женщины выстраиваются в цепи!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7738","message","2020-08-14T02:14:47","NEXTA Live","10003210496","","","","","","","1280","960","Медиков на Грушевке уже около 300 человек! Невероятно!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7739","message","2020-08-14T02:18:10","NEXTA Live","10003210496","","","","","","","1280","622","Утро начинается не с кофе! На станции метро Партизанская уже выстроились цепи Перемен!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7740","message","2020-08-14T02:23:04","NEXTA Live","10003210496","Беларусь головного мозга","","","","","","625","787","Мебельная фабрика ""ЗОВ"" в Гродно также не остается в стороне.","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7741","message","2020-08-14T02:23:21","NEXTA Live","10003210496","","","","","","","1280","960","На минском электротехническом заводе им. В. И. Козлова знают толк в забастовках!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7742","message","2020-08-14T02:23:22","NEXTA Live","10003210496","","","","","","","1280","961","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7743","message","2020-08-14T02:24:04","NEXTA Live","10003210496","","","","","","","","","⚡️Гродненское Химволокно тоже бастует и выражает солидарность!","","","","2020-08-14T02:24:20","","","","","","","","","","","",""
"","","","7744","message","2020-08-14T02:32:39","NEXTA Live","10003210496","","","","","","","777","519","❗️На БелАЭС в Островце тоже начинается забастовка!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7745","message","2020-08-14T02:36:31","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","55","1024","576","Обращение солигорских строителей к властям и всем рабочим страны!","","","","","","","","","","","","","","","",""
"","","","7747","message","2020-08-14T02:38:46","NEXTA Live","10003210496","","","","","","","","","⚡️","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","bold","Нафтан и Полимир","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""," сегодня также вызывает руководство на разговор! Объявлен общий сбор в 12:00 возле заводоуправлений каждого из предприятий.","","","","","","","","","","","","","","","",""
"","","","7748","message","2020-08-14T02:40:28","NEXTA Live","10003210496","PALCHYS","","","","","","1276","956","","bold","МИНСКОЕ МЕТРО - ЗАБАСТОВКА В 12.30.\n","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Со мной ещё вчера связались работники и вот их обращение:\n\n""Рабочие минского метро (ГП ""Минский метрополитен"") готовятся к забастовке, от сотрудников дэпо до инженерных служб: движение, снабжение, эм, путей и тоннельных сооружений, тч-1 и тч-2, рмс, безопасность, эко, автоматизация, обходчики, монтеры, эстэпэшники. Их тысячи, они все разбиты по небольшим группам, сменам и станциям, но они едины с народом.\n\nПассажиры, присоединяйтесь к ним, когда начнется забастовка в 12:30! Не оставайтесь безучастными, ожидая в вагоне перемен. Все будут выходить на своих станциях ! Выходите на станциях в сторону центра города, чтобы вас было всех как можно больше рядом, но не создавать толпу на одной из сторон дороги.\n\nОт сотрудников метрополитена:\nПокажем идеологу Воробьеву с его гестаповскими комиссионным осмотрами понять, что мы не быдло, а специалисты!\n\nНет насилию над людьми в нашей стране!\nСвободу политзаключенным и всем задержанным!\nДа честным выборам!""","","","","","","","","","","","","","","","",""
"","","","7749","message","2020-08-14T02:40:28","NEXTA Live","10003210496","PALCHYS","","","","","","1280","960","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7750","message","2020-08-14T02:41:43","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","22","1280","720","Работники БМЗ передаю краткое, но очень ясное послание властям! Молодцы!","","","","","","","","","","","","","","","",""
"","","","7751","message","2020-08-14T02:43:42","NEXTA Live","10003210496","","","","","","","","","❗️МЗКТ объявляет всеобщий сбор в 11.30 возле экспериментального цеха!","","","","","","","","","","","","","","","",""
"","","","7752","message","2020-08-14T02:45:42","NEXTA Live","10003210496","","","","","","","870","1280","А вот и обращение коллектива МЗКТ!","","","(File not included. Change data exporting settings to download.)","","7751","","","","","","","","","","",""
"","","","7753","message","2020-08-14T02:45:43","NEXTA Live","10003210496","","","","","","","921","1280","","","","(File not included. Change data exporting settings to download.)","","7751","","","","","","","","","","",""
"","","","7754","message","2020-08-14T02:47:57","NEXTA Live","10003210496","","","","","","","960","1280","ММЗ присоединяется к забастовке!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7755","message","2020-08-14T02:49:57","NEXTA Live","10003210496","","","","","","","888","1280","Трудовой коллектив столичной ТЭЦ-4 тоже выступает с обращением!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7757","message","2020-08-14T02:56:20","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","24","1080","1920","Протест работников культуры возле Белгосфилармонии.","","","","","","","","","","","","","","","",""
"","","","7758","message","2020-08-14T02:57:53","NEXTA Live","10003210496","","","","","","","720","540","Работники Минских электрических сетей Острошицко-Городокского района попросили передать, что они с народом!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7759","message","2020-08-14T02:59:49","NEXTA Live","10003210496","","","","","","","1280","960","Строители БелАЭС с народом!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","7760","message","2020-08-14T03:03:42","NEXTA Live","10003210496","","","","","","","","","Минский Завод Шестерён (МЗШ) тоже объявляет всеобщий сбор! В 12:00 возле аллеи!","","","","","","","","","","","","","","","",""
"","","","7761","message","2020-08-14T03:04:19","NEXTA Live","10003210496","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","21","1080","1920","Гроднопромстрой тоже на забастовке!","","","","","","","","","","","","","","","",""
"","","","7762","message","2020-08-14T03:07:28","NEXTA Live","10003210496","","","","","","","1280","960","Филиал «Минские кабельные сети» с самого утра на забастовке!","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
