"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__width","messages__height","messages__text","messages__photo","messages__forwarded_from","messages__text__type","messages__text__text","messages__text__href","messages__reply_to_message_id","messages__actor","messages__actor_id","messages__action","messages__message_id","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen"
"NEXTA Live","public_channel","10003210496","10107","message","2020-09-01T02:59:58","2020-09-01T03:00:11","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","15","640","480","БелАЗ стоит!","","","","","","","","","","","","","","","",""
"","","","10108","message","2020-09-01T03:08:35","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","20","320","568","Во многих школах главными аниматорами на линейках, предсказуемо, стали менты.","","","","","","","","","","","","","","","",""
"","","","10109","message","2020-09-01T03:08:35","","NEXTA Live","10003210496","","","","","","960","1280","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","","","",""
"","","","10110","message","2020-09-01T03:16:15","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","11","360","640","Один из цехов ""Минского подшипникового завода"" тоже стоит без работы. Вся страна ""празднует"" день знаний!","","Беларусь головного мозга","","","","","","","","","","","","","",""
"","","","10111","message","2020-09-01T03:32:21","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","38","720","1280","Непонятные люди в масках гоняют студенток около БНТУ.","","","","","","","","","","","","","","","",""
"","","","10112","message","2020-09-01T03:32:21","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","49","720","1280","","","","","","","","","","","","","","","","",""
"","","","10113","message","2020-09-01T03:36:56","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","84","1280","720","Студентки МГЛУ, ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","text_link","собирающие подписи под петицией","https://t.me/nexta_tv/3880","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",", подкараулили Макея и нескольких человек из руководства университета. Сославшись на нехватку времени они отказались подписываться:(","","","","","","","","","","","","","","","",""
"","","","10114","message","2020-09-01T03:55:39","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","17","720","1280","Студенты начинают собираться около БГУИР","","","","","","","","","","","","","","","",""
"","","","10115","message","2020-09-01T04:12:03","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","20","720","1280","Колонна студентов с национальными флагами и плакатами двинулась от БНТУ в сторону центра по проспекту Независимости.","","","","","","","","","","","","","","","",""
"","","","10116","message","2020-09-01T04:24:37","2020-09-01T04:28:41","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","13","720","1280","","","","bold","В Орше горит авторынок возле завода «Савушкин-Орша». \n\n","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Молочный завод горел 3 дня назад, ранее туда приезжал Лукашенко.","","","","","","","","","","","","","","","",""
"","","","10117","message","2020-09-01T04:36:15","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","18","720","1280","Посмотрите, как студенты проигнорировали очередного тихаря. Молодцы, таких ребят не задержишь! ⚡️","","","","","","","","","","","","","","","",""
"","","","10118","message","2020-09-01T04:36:32","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","43","1280","720","МГЛУ оцепили силовики: туда направляется колонна студентов.","","TUT.BY новости","","","","","","","","","","","","","",""
"","","","10119","message","2020-09-01T04:42:37","","NEXTA Live","10003210496","","","","","","1280","643","Студенты стали в сцепку перед карателями!","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","","","",""
"","","","10120","message","2020-09-01T04:45:04","","NEXTA Live","10003210496","","","","","","","","","","","bold","На площади Победы в Минске начались задержания","","","","","","","","","","","",""
"","","","10121","message","2020-09-01T04:47:38","","NEXTA Live","10003210496","","","","","","","","","","","bold","Станция метро площадь Победы закрыта","","","","","","","","","","","",""
"","","","10122","message","2020-09-01T04:52:35","","NEXTA Live","10003210496","","","","","","1280","852","Студенты БГУ выстроились недалеко от главного корпуса в Минске","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","","","",""
"","","","10123","message","2020-09-01T04:55:16","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","13","720","1280","Во время задержаний на пл. Победы 2 карателя жестко связали парня и пытались увезти, но машина омоновцев уехала и задержание не удалось.","","","","","","","","","","","","","","","",""
"","","","10124","message","2020-09-01T04:58:54","2020-09-01T04:59:26","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","10","1080","1920","Так проходили задержания студентов на площади Победы","","","","","","","","","","","","","","","",""
"","","","10125","message","2020-09-01T05:00:38","","NEXTA Live","10003210496","","","","","","1280","960","В районе Площади Победы каратели на бусике без номеров въехали в легковое авто","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","","","",""
"","","","10126","message","2020-09-01T05:00:38","","NEXTA Live","10003210496","","","","","","1280","960","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","","","",""
"","","","10127","message","2020-09-01T05:02:44","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","22","720","1280","Всадили ауди :(","","","","","","10125","","","","","","","","","",""
"","","","10128","message","2020-09-01T05:06:32","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","7","720","1280","⚡️Студентов оттеснили к Юрфаку БГУ. ОМОН заблокировал главный вход в БГУ.","","отчислено","","","","","","","","","","","","","",""
"","","","10129","message","2020-09-01T05:11:26","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","30","720","1280","","","","bold","«Далучайся!»\n\n","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Студенты двигаются по улице Карла Маркса в Минске","","","","","","","","","","","","","","","",""
"","","","10130","message","2020-09-01T05:12:53","2020-09-01T05:14:18","NEXTA Live","10003210496","","","","","","1276","956","Студенты МИТСО, ждут людей возле своего университета и выдвигаются в центр. Поддержим ребят!","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","","","",""
"","","","10131","message","2020-09-01T05:22:48","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","35","1280","720","","","","bold","«Проходим, чмо ты, бл**ь»\n\n","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Вурдалаки, у которых с высшим образованием не заладилось, загоняют студентов МГЛУ в корпус.","","","","","","","","","","","","","","","",""
"","","","10132","message","2020-09-01T05:26:09","","NEXTA Live","10003210496","","","","","","1280","960","Возле Тракторного завода тоже собираются люди с плакатами и бело-красно-белыми флагами. Их сейчас там больше 50 человек и народ активно подходит.","(File not included. Change data exporting settings to download.)","TUT.BY новости","","","","","","","","","","","","","",""
"","","","10133","message","2020-09-01T05:28:26","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","17","1080","1920","МГЛУ изнутри. Лошкипетушки никого не выпускают из здания, а на ресепшене стоит тихарь с камерой. Жесть!","","","","","","","","","","","","","","","",""
"","","","10134","message","2020-09-01T05:33:40","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","33","1080","1920","Колонна студентов из разных университетов продолжает гулять по Минску","","","","","","","","","","","","","","","",""
"","","","10135","message","2020-09-01T05:39:20","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","43","720","1280","","","","bold","Начальник по воспитательной работе с молодежью МГЛУ Пученя Игорь Константинович угрожает студентам","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""," ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","bold","впустить карателей в здание!","","","","","","","","","","","",""
"","","","10136","message","2020-09-01T05:42:45","","NEXTA Live","10003210496","","","","","","1280","643","В первой половине дня лошкипетушки очень сильно испугались молодых студентов. Просто за высказывание своей позиции их толкали, оскорбляли, били и задерживали. В том числе и девушек.\n\nБольшое количество белорусов нам пишут, что такое нельзя прощать и они готовы сегодня выйти на улицы в знак солидарности со студентами.\n\n","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","bold","МИНСК:\n\n- 18.00. Площадь Независимости.","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""," Собираемся и показываем, что белорусы гордятся своей молодёжью. Отдельно приглашаем честных учителей и преподавателей ВУЗов.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","bold","ОСТАЛЬНЫЕ ГОРОДА:\n\n- 18.00.","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""," Выходим на центральные площади, учащиеся местных ВУЗов и колледжей могут там обсудить вопрос студенческой забастовки.\n\nПерешлите этот пост всем своим знакомым, которые выходили на улицы. ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","bold","Один за всех - и все за одного!","","","","","","","","","","","",""
"","","","10137","message","2020-09-01T05:52:48","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","38","720","1280","Две колонны студентов объединились в парке Горького","","","","","","","","","","","","","","","",""
"","","","10138","message","2020-09-01T05:55:26","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","19","854","480","Студенты БГУ, БГУИР и БГЭУ идут на помощь к своим товарищам из МГЛУ через парк Горького!","","","","","","","","","","","","","","","",""
"","","","10139","message","2020-09-01T05:59:21","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","14","1280","720","Тем времени около проходной МТЗ поддержать бастующих уже собралось несколько сотен человек","","","","","","","","","","","","","","","",""
"","","","10140","message","2020-09-01T06:01:18","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","10","1080","1920","Студенты БГУКИ вышли протестовать!","","","","","","","","","","","","","","","",""
"","","","10141","message","2020-09-01T06:06:19","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","21","576","1024","","","","bold","Превосходный вид на ТЭЦ-4\n\n","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Рабочие ТЭЦ-4 вышли на протест с флагами и транспарантами. К ним присоединились неравнодушные люди.","","","","","","","","","","","","","","","",""
"","","","10142","message","2020-09-01T06:07:02","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","24","1080","1920","","","","bold","«Студенты с народом!»\n\n","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Колонна студентов вышла из парка Горького и продолжает движение","","","","","","","","","","","","","","","",""
"","","","10143","message","2020-09-01T06:11:53","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","22","720","1280","Ещё один цех МПЗ стал!","","","","","","10110","","","","","","","","","",""
"","","","10144","message","2020-09-01T06:14:49","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","19","848","464","Колонна вернулась на площадь Независимости, людей всё больше.","","отчислено","","","","","","","","","","","","","",""
"","","","10145","message","2020-09-01T06:15:55","","NEXTA Live","10003210496","","","","","","1280","960","Студенты БГАИ тоже вышли","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","","","",""
"","","","10146","message","2020-09-01T06:20:35","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","14","1280","720","","","","bold","Парк высоких технологий тоже за свободу!\n\n","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Сотрудники ПВТ в Минске вышли поддержать протестующих.","","","","","","","","","","","","","","","",""
"","","","10147","message","2020-09-01T06:23:45","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","15","320","568","«У нас есть голос!»\n\nСтуденты «Кулька» поддерживают протест!","","","","","","","","","","","","","","","",""
"","","","10148","message","2020-09-01T06:26:46","","NEXTA Live","10003210496","","","","","","1280","854","Студенты идут от площади Независимости в сторону Академии Наук. ⚪️🔴⚪️","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","","","",""
"","","","10149","message","2020-09-01T06:30:39","","NEXTA Live","10003210496","","","","","","1280","961","К протестам присоединились строители комплекса «Минск Мир».","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","","","",""
"","","","10150","message","2020-09-01T06:31:43","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","249","740","416","Легендарная Агнешка Радваньска и другие именитые польские спортсмены поддержали белорусов в их борьбе с диктаторским режимом.\n\nСпасибо за солидарность!","","","","","","","","","","","","","","","",""
"","","","10151","message","2020-09-01T06:33:01","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","15","720","1280","На Нововиленской в Минске тоже бастуют строители","","","","","","","","","","","","","","","",""
"","","","10152","message","2020-09-01T06:33:57","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","74","1280","720","Колонна протестующих идет возле площади Якуба Коласа, милиция просит их разойтись.\n\nРебята кричат ""Вместе и до конца!""","","TUT.BY новости","","","","","","","","","","","","","",""
"","","","10153","message","2020-09-01T06:42:45","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","68","1080","1920","Разные группы студентов и преподавателей продолжают объединяться в одну колонну в центре Минска!","","","","","","","","","","","","","","","",""
"","","","10154","message","2020-09-01T06:45:28","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","23","1280","720","Людей всё больше и больше!\n\nЕсли вы бастуете или просто не заняты — ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","bold","не нужно ждать 18.00.","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""," ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","bold","Приезжайте в центр поддержать студентов сейчас!","","","","","","","","","","","",""
"","","","10155","message","2020-09-01T06:56:06","","NEXTA Live","10003210496","","","","","","1280","720","","(File not included. Change data exporting settings to download.)","","bold","Веселые плакаты от ребят из ТЭЦ–4. \n\n","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Тихари и наркоманы с народом!","","","","","","","","","","","","","","","",""
"","","","10156","message","2020-09-01T06:56:06","","NEXTA Live","10003210496","","","","","","1280","720","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","","","",""
"","","","10157","message","2020-09-01T06:56:06","","NEXTA Live","10003210496","","","","","","961","1280","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","","","",""
"","","","10158","message","2020-09-01T06:56:06","","NEXTA Live","10003210496","","","","","","1280","720","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","","","",""
"","","","10159","message","2020-09-01T06:56:06","","NEXTA Live","10003210496","","","","","","1275","1280","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","","","",""
"","","","10160","message","2020-09-01T06:56:40","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","22","854","480","","","LUXTA","italic","«Саня, выпей чаю! Путин угощает!»","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","😂","","","","","","","","","","","","","","","",""
"","","","10161","message","2020-09-01T06:59:50","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","22","720","1280","Менты и тихари в районе Площади Победы. Студенты скандируют: ","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","italic","«Не боимся!»","","","","","","","","","","","",""
"","","","10162","message","2020-09-01T07:06:12","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","12","848","464","Улица Козлова в Минске сейчас. Студентов уже несколько тысяч!","","","","","","","","","","","","","","","",""
"","","","10163","message","2020-09-01T07:08:55","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","18","1920","1080","","","","bold","По улице Орловской в Минске бастующие строители идут в сторону Дворца Независимости. Просят присоединяться!","","","","","","","","","","","",""
"","","","10164","message","2020-09-01T07:17:53","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","65","1920","1080","Возле входа в парк Горького стоит цепь ОМОНа. А рядом люди танцуют линди-хоп под джазовую музыку. \nЭто Беларусь, детка.","","","","","","","","","","","","","","","",""
"","","","10165","message","2020-09-01T07:23:59","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","21","1280","720","Захарова-Первомайская в Минске. Очень много людей!","","","","","","","","","","","","","","","",""
"","","","10166","message","2020-09-01T07:51:10","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","5","720","1280","Пока студенты снова выходят на проспект Независимости, а их догоняет колонна демонстрантов с МТЗ, возле Октябрьской площади каратели перекрывают тротуар.","","","","","","","","","","","","","","","",""
"","","","10167","message","2020-09-01T08:08:05","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","35","1280","720","Колонна студентов обыграла милицию и теперь подходит к Октябрьской площади со стороны Интернациональной!","","","","","","","","","","","","","","","",""
"","","","10168","message","2020-09-01T08:13:37","2020-09-01T08:15:40","NEXTA Live","10003210496","","","","","","1276","956","Ха-ха, не успели выстроиться, а проходят Зыбицкую!","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","","","",""
"","","","10169","message","2020-09-01T08:13:37","","NEXTA Live","10003210496","","","","","","956","1276","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","","","",""
"","","","10170","message","2020-09-01T08:16:06","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","16","720","1280","На Зыбицкой всегда классные тусовки!","","","","","","","","","","","","","","","",""
"","","","10171","message","2020-09-01T08:26:02","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","15","720","1280","Силовики оттесняют студентов от станции метро Немига в направлении площади Свободы.","","","","","","","","","","","","","","","",""
"","","","10172","message","2020-09-01T08:31:20","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","23","720","1280","Студенты прорвали оцепление и пошли по Немиге. Впрочем, ненадолго. Их снова теснят.","","","","","","","","","","","","","","","",""
"","","","10173","message","2020-09-01T08:31:20","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","51","720","1280","","","","","","","","","","","","","","","","",""
"","","","10174","message","2020-09-01T08:31:53","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","23","720","1280","Студенты просто огонь!\n\nВидео: ","","Кулуары KYKY","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","mention","@onlinerby","","","","","","","","","","","",""
"","","","10175","message","2020-09-01T08:35:00","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","27","720","1280","Студенты перегруппировались и стоят возле входа в KFC.","","","","","","","","","","","","","","","",""
"","","","10176","message","2020-09-01T08:37:07","","NEXTA Live","10003210496","","","","","","","","Силовики пытаются предугадать дальнейшие передвижения колонны учащихся и превентивно блокируют проход возле ТД ""На Немиге"", а также возле Ратуши.","","","","","","","","","","","","","","","",""
"","","","10177","message","2020-09-01T08:41:48","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","56","720","1280","Только посмотрите, как хитрая молодёжь убежала от карателей!","","","","","","10174","","","","","","","","","",""
"","","","10178","message","2020-09-01T08:45:52","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","25","720","1280","Студенты продолжают своё шествие! Сейчас они идут по Немиге в сторону Плошчы!","","","","","","","","","","","","","","","",""
"","","","10179","message","2020-09-01T08:50:31","","NEXTA Live","10003210496","","","","","","960","1280","И снова перехитрили слабовиков просто перейдя на другую сторону улицы!","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","","","",""
"","","","10180","message","2020-09-01T08:50:32","","NEXTA Live","10003210496","","","","","","636","881","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","","","",""
"","","","10181","message","2020-09-01T08:51:59","","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","36","1280","720","Силовики оцепили проход к Романовской Слободе, но студенты снова их обошли.","","TUT.BY новости","","","","","","","","","","","","","",""
"","","","10182","message","2020-09-01T08:55:50","","NEXTA Live","10003210496","","","","","","960","1280","Космонавты начинают перекрывать площадь.","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","","","",""
"","","","10183","message","2020-09-01T08:55:50","","NEXTA Live","10003210496","","","","","","1280","960","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","","","",""
