"name","type","id","messages__id","messages__type","messages__date","messages__actor","messages__actor_id","messages__action","messages__title","messages__text","messages__members__-","messages__from","messages__from_id","messages__text__type","messages__text__text","messages__reply_to_message_id","messages__photo","messages__width","messages__height","messages__file","messages__mime_type","messages__edited","messages__forwarded_from","messages__message_id","messages__text__href","messages__thumbnail","messages__text__user_id","messages__media_type","messages__sticker_emoji","messages__duration_seconds","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen"
"102-й округ — избиратели","public_supergroup","9938509837","1","service","2020-08-24T15:46:42","102-й округ — избиратели","9938509837","migrate_from_group","отзыв_депутата_ленчевская","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","2","service","2020-08-24T15:46:57","Татьяна","4884092536","edit_group_title","отзыв депутата ленчевская","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","3","service","2020-08-24T15:57:14","MarmeladkA","4643690432","invite_members","","","MarmeladkA","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","4","service","2020-08-24T15:57:32","AY","4700022086","invite_members","","","AY","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","5","service","2020-08-24T16:33:10","M Z","4517856651","invite_members","","","M Z","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","6","service","2020-08-24T16:33:29","M Z","4517856651","remove_members","","","M Z","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","7","service","2020-08-24T16:43:12","Sergey Protko","4523371133","invite_members","","","Sergey Protko","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","8","message","2020-08-24T16:53:24","","","","","Кто нибудь есть в чате Фрунзенского района. Можете скинуть туда ссылку на группу ?","","Татьяна","4884092536","","","","","","","","","","","","","","","","","","","","","","",""
"","","","9","service","2020-08-24T17:29:09","Proskurskaya Karina","4691224358","invite_members","","","Proskurskaya Karina","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","10","service","2020-08-24T17:47:46","Andrus'","4552417875","invite_members","","","Andrus'","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","11","service","2020-08-25T01:08:10","Pavel","4628013962","invite_members","","","Pavel","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","12","service","2020-08-25T01:08:24","Alex","4579482986","invite_members","","","Alex","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","13","service","2020-08-25T01:09:03","Юрий","5228316133","invite_members","","","Юрий","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","14","service","2020-08-25T01:09:18","Ната","4638879832","invite_members","","","Ната","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","15","service","2020-08-25T01:09:35","Ната","4638879832","remove_members","","","Ната","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","16","service","2020-08-25T01:11:01","Stefa","5335075199","invite_members","","","Stefa","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","17","service","2020-08-25T01:12:17","Ab Hdoc","4568840241","invite_members","","","Ab Hdoc","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","18","service","2020-08-25T01:19:46","Alena","4729346611","invite_members","","","Alena","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","19","message","2020-08-25T01:19:52","","","","","","","Alena","4729346611","link","https://youtu.be/QKq1RExaDK0","","","","","","","","","","","","","","","","","","","","",""
"","","","20","service","2020-08-25T01:22:26","Алесь Шыпуля","4561124546","invite_members","","","Алесь Шыпуля","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","21","service","2020-08-25T01:30:05","97999 Evgenii","5027481651","invite_members","","","97999 Evgenii","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","22","service","2020-08-25T01:38:17","Ты","4539051953","invite_members","","","Ты","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","23","service","2020-08-25T01:38:17","Olga Ilyina","4558799144","invite_members","","","Olga Ilyina","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","24","service","2020-08-25T01:45:36","Bulba","5056385564","invite_members","","","Bulba","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","25","service","2020-08-25T01:56:30","Ktr","4784012376","invite_members","","","Ktr","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","26","service","2020-08-25T01:58:29","Вероника","4762492759","invite_members","","","Вероника","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","27","service","2020-08-25T02:01:25","Tatsiana","4721594006","invite_members","","","Tatsiana","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","28","message","2020-08-25T02:05:48","","","","","я есть в том чате, могу скинуть","","Вероника","4762492759","","","8","","","","","","","","","","","","","","","","","","","",""
"","","","29","message","2020-08-25T02:12:40","","","","","Если кто-то ещё не ознакомлен с её последним  постом в Инстаграм","","Proskurskaya Karina","4691224358","","","","","","","","","","","","","","","","","","","","","","",""
"","","","30","message","2020-08-25T02:12:46","","","","","","","Proskurskaya Karina","4691224358","","","","(File not included. Change data exporting settings to download.)","720","1280","","","","","","","","","","","","","","","","",""
"","","","31","message","2020-08-25T02:15:31","","","","","Алёна, спасибо за видео! В этом обращении она обещает добиться бесплатной юридической консультации для женщин, подвергающих домашнему насилию. Может, попросим публично добиться бесплатной юридической консультации для людей, подвергших насилию на Окрестино. \nХотя видимо для неё это не более, чем квест.","","Proskurskaya Karina","4691224358","","","","","","","","","","","","","","","","","","","","","","",""
"","","","32","message","2020-08-25T02:23:40","","","","","ну с ней все понятно","","Вероника","4762492759","","","29","","","","","","","","","","","","","","","","","","","",""
"","","","33","message","2020-08-25T02:29:11","","","","","Друзья, давайте подумаем как мы будем организовывать сбор подписей. Мне кажется поквартирный обход или присутствие возле подъездов домов будет эффективно. Важно понять какие моменты не поддержал наш депутат (просмотреть профиль в инста, выступление, может ещё какую-то информацию, чтобы суметь донести это людям). Заявление я так понимаю должно быть одно, т.е. одно на 150 подписей? Поправьте, если я не права.","","AY","4700022086","","","","","","","","","","","","","","","","","","","","","","",""
"","","","34","message","2020-08-25T02:30:17","","","","","","","AY","4700022086","","","","","","","(File not included. Change data exporting settings to download.)","application/vnd.openxmlformats-officedocument.wordprocessingml.document","","","","","","","","","","","","","","",""
"","","","35","message","2020-08-25T02:32:16","","","","","Да, все верно","","Proskurskaya Karina","4691224358","","","","","","","","","","","","","","","","","","","","","","",""
"","","","36","message","2020-08-25T02:32:43","","","","","Да в её профиле в инстаграм более чем достаточно «поддержки» народа","","Proskurskaya Karina","4691224358","","","","","","","","","","","","","","","","","","","","","","",""
"","","","37","message","2020-08-25T02:32:58","","","","","","","Proskurskaya Karina","4691224358","link","https://instagram.com/lenchevskaya.m?igshid=1a6phwx90wziq","","","","","","","","","","","","","","","","","","","","",""
"","","","38","message","2020-08-25T02:33:07","","","","","","","Proskurskaya Karina","4691224358","","","","(File not included. Change data exporting settings to download.)","720","1280","","","","","","","","","","","","","","","","",""
"","","","39","message","2020-08-25T02:33:44","","","","","Вот, например, здесь я так понимаю, она оправдывает фальсификацию выборов и открыто говорит «не нравится-введите детей в частные школы»","","Proskurskaya Karina","4691224358","","","","","","","","","","","","","","","","","","","","","","",""
"","","","40","message","2020-08-25T02:33:50","","","","","минимум на 150, я думаю можно и больше","","Ktr","4784012376","","","33","","","","","","","","","","","","","","","","","","","",""
"","","","41","service","2020-08-25T02:34:05","Matroshka","5129084850","invite_members","","","Matroshka","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","42","message","2020-08-25T02:35:13","","","","","Добрый день! Уже кто-то собирает подписи?","","Matroshka","5129084850","","","33","","","","","","","","","","","","","","","","","","","",""
"","","","43","service","2020-08-25T02:35:51","Matroshka","5129084850","invite_members","","","Sveta Z","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","44","message","2020-08-25T02:36:37","","","","","Предлагаю - я буду ходить с листком к дому, где вы напишите - и вы выходите к первому подъезду и подписываетесь ?)","","Tatsiana","4721594006","","","","","","","","","","","","","","","","","","","","","","",""
"","","","45","message","2020-08-25T02:37:37","","","","","Если вы подтянете своих близких и соседей которые честно отстраивают свою позицию - то это будет просто ))) \nЯ на всякий хочу даа экземпляра иметь мало ли )))","","Tatsiana","4721594006","","","","","","","","","","","","","","","","","","","","","","",""
"","","","46","message","2020-08-25T02:37:50","","","","","Правильно, лучше в двух","","Ab Hdoc","4568840241","","","","","","","","","","","","","","","","","","","","","","",""
"","","","47","message","2020-08-25T02:38:22","","","","","В этом заявлении говорится:\n«В адрес вышеупомянутого депутата Палаты представителей Республики Беларусь направлялись обращения избирателей с просьбой принять все возможные меры для защиты законных прав избирателей и устранения имеющихся нарушений законодательства. Ответов на данные обращения получено не было»\nКто-то направлял такие обращение? Это важно, тк если такого не было, то нужно убрать","","Olga Ilyina","4558799144","","","","","","","","","","","","","","","","","","","","","","",""
"","","","48","message","2020-08-25T02:38:25","","","","","У нас на Игнатовского 3 много желающих найдется. Лучше конечно вечером.","","Matroshka","5129084850","","","","","","","","","","","","","","","","","","","","","","",""
"","","","49","service","2020-08-25T02:38:29","Dasha","5560191177","invite_members","","","Dasha","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","50","message","2020-08-25T02:39:03","","","","","Думаю с шести начну )))","","Tatsiana","4721594006","","","48","","","","","","","","","","","","","","","","","","","",""
"","","","51","message","2020-08-25T02:39:12","","","","","Значит нужно направить","","Pavel","4628013962","","","47","","","","","","","","","","","","","","","","","","","",""
"","","","52","service","2020-08-25T02:39:16","Apelsin-ka","5586690499","invite_members","","","Apelsin-ka","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","53","service","2020-08-25T02:39:52","Sveta","4629914852","invite_members","","","Sveta","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","54","service","2020-08-25T02:40:00","Bulba","5056385564","invite_members","","","Viacheslav","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","55","message","2020-08-25T02:40:19","","","","","А у нас не было наблюдателей, которые направляли жалобы ???","","Tatsiana","4721594006","","","51","","","","","","","","","","","","","","","","","","","",""
"","","","56","message","2020-08-25T02:40:28","","","","","Хороший план, только давайте согласует хотя бы примерное время и дату. Например, дом ХХ вторник, в районе 19:00 - 19:30","","AY","4700022086","","","44","","","","","","","","","","","","","","","","","","","",""
"","","","57","message","2020-08-25T02:40:32","","","","","Будет не очень хорошо, если даты обращений будут совпадать с датами подписей на заявлении)","","Olga Ilyina","4558799144","","","","","","","","","","","","","","","","","","","","","","",""
"","","","58","message","2020-08-25T02:40:51","","","","","Депутату?","","Pavel","4628013962","","","55","","","","","","","","","","","","","","","","","","","",""
"","","","59","message","2020-08-25T02:40:52","","","","","Они направляли скорее всего в вышестоящие комиссии, но не к депутату","","Olga Ilyina","4558799144","","","55","","","","","","2020-08-25T02:41:00","","","","","","","","","","","","","",""
"","","","60","message","2020-08-25T02:41:15","","","","","Мы можем исключить этот пункт. Но точно видела на сайте Зубра, что были независимые наблюдатели, которых не пустили","","AY","4700022086","","","57","","","","","","","","","","","","","","","","","","","",""
"","","","61","message","2020-08-25T02:43:23","","","","","Можно направить обращение по поводу несовершеннолетнего с оружием","","Sveta","4629914852","","","","","","","","","","","","","","","","","","","","","","",""
"","","","62","message","2020-08-25T02:43:43","","","","","Я за то, чтобы исключить, если всё-таки никто не направлял обращения депутату\nВсё равно далее идёт хороший абзац о том, что она не предприняла никаких действий, хотя могла (даже без обращений, по своей инициативе)","","Olga Ilyina","4558799144","","","","","","","","","2020-08-25T02:44:02","","","","","","","","","","","","","",""
"","","","63","service","2020-08-25T02:44:07","The Show Must Go On","5414624234","invite_members","","","The Show Must Go On","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","64","message","2020-08-25T02:44:34","","","","","Это уголовка и лишение родительских прав кстати","","Tatsiana","4721594006","","","61","","","","","","2020-08-25T02:44:44","","","","","","","","","","","","","",""
"","","","65","message","2020-08-25T02:45:56","","","","","Подскажите, может кто нашел файл какие адреса относятся к 102 избирательному округу? я живу где-то на границе двух и не хочется, чтоб подпись была не дейсвительна)","","Ktr","4784012376","","","","","","","","","","","","","","","","","","","","","","",""
"","","","66","message","2020-08-25T02:46:05","","","","","","","Вероника","4762492759","link","http://www.rec.gov.by/sites/default/files/maps/8.jpg","65","","","","","","","","","","","","","","","","","","","",""
"","","","67","message","2020-08-25T02:46:13","","","","","спасибо!","","Ktr","4784012376","","","","","","","","","","","","","","","","","","","","","","",""
"","","","68","message","2020-08-25T02:46:17","","","","","","","AY","4700022086","","","65","(File not included. Change data exporting settings to download.)","749","1035","","","","","","","","","","","","","","","","",""
"","","","69","message","2020-08-25T02:47:20","","","","","Ещё можно тут поискать ","","AY","4700022086","","","65","","","","","","","","","","","","","","","","","","","",""
