"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__text","messages__text__type","messages__text__text","messages__text__href","messages__edited","messages__photo","messages__width","messages__height","messages__forwarded_from","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__reply_to_message_id"
"Беларусь головного мозга","public_channel","9657985200","7985","message","2020-08-09T00:32:21","Беларусь головного мозга","9657985200","Друзья, в последние дни ходит много слухов об отключении интернета либо блокировке отдельных сайтов или ресурсов. \nМы напоминаем вам о нашей ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","инструкции","https://t.me/belamova/7440","","","","","","","","","","","","","","","","",""
"","","","","","","",""," на случай отключения интернета. \nОзаботьтесь уже сейчас тем, чтобы скачать себе bridgefy. ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","Android","https://play.google.com/store/apps/details?id=me.bridgefy.main&hl=ru","","","","","","","","","","","","","","","","",""
"","","","","","","",""," и ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","AppStore","https://apps.apple.com/us/app/bridgefy/id975776347","","","","","","","","","","","","","","","","",""
"","","","","","","","",".\nПрисылайте нам свои новости через ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@BGMnews_bot","","","","","","","","","","","","","","","","","",""
"","","","","","","",""," \nВ случае тотального отключения интернета, вы можете сообщать нам экстренные новости в смс на специально созданный для этого номер: ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","phone","+370 625-096-21","","","","","","","","","","","","","","","","","",""
"","","","","","","","",".","","","","","","","","","","","","","","","","","","","",""
"","","","7986","message","2020-08-09T02:19:03","Беларусь головного мозга","9657985200","Озаботьтесь уже сейчас тем, чтобы скачать себе bridgefy. ","","","","2020-08-09T02:47:15","(File not included. Change data exporting settings to download.)","1280","1280","","","","","","","","","","","","",""
"","","","","","","","","","text_link","Android","https://play.google.com/store/apps/details?id=me.bridgefy.main&hl=ru","","","","","","","","","","","","","","","","",""
"","","","","","","",""," и ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","AppStore","https://apps.apple.com/us/app/bridgefy/id975776347","","","","","","","","","","","","","","","","",""
"","","","","","","","",".\n\nБот для установки прокси вам в телеграм: ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@BestMTProxyBot","","","","","","","","","","","","","","","","","",""
"","","","","","","","","\n\nПрисылайте нам свои новости через ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@BGMnews_bot","","","","","","","","","","","","","","","","","",""
"","","","","","","",""," \n\nВ случае тотального отключения интернета, вы можете сообщать нам экстренные новости в смс на специально созданный для этого номер: ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","phone","+370 625-096-21","","","","","","","","","","","","","","","","","",""
"","","","","","","","",".\n\n! ","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Внимание, вы можете проверить работоспособность интернета (доступ к наиболее популярным сервисам) по этой ссылке !","","","","","","","","","","","","","","","","","",""
"","","","7987","message","2020-08-09T02:19:03","Беларусь головного мозга","9657985200","","","","","","(File not included. Change data exporting settings to download.)","1280","1280","","","","","","","","","","","","",""
"","","","7988","message","2020-08-09T02:19:03","Беларусь головного мозга","9657985200","","","","","","(File not included. Change data exporting settings to download.)","1280","1280","","","","","","","","","","","","",""
"","","","7989","message","2020-08-09T02:19:03","Беларусь головного мозга","9657985200","","","","","","(File not included. Change data exporting settings to download.)","1280","1280","","","","","","","","","","","","",""
"","","","7990","message","2020-08-09T02:53:54","Беларусь головного мозга","9657985200","⚡️","","","","","","","","Выборы. Беларусь","","","","","","","","","","","",""
"","","","","","","","","","bold","Внимание! ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","Нам поступает много информации об испорченных заранее бюллетенях. При получении бюллетеня ВНИМАТЕЛЬНО освотрите его на наличие заранее проставленных отметок. В случае, если на вашем бюллетене стоит посторонняя отметка, требуйте признания его недействительным и уничтожения этого бюллетеня при вас!","","","","","","","","","","","","","","","","","","","",""
"","","","7991","message","2020-08-09T03:12:48","Беларусь головного мозга","9657985200","Наши читатели сообщают, что в Минске уже наблюдаются серьезные проблемы с интернетом. Пока что сообщили о перебоях у оператора А1.\n\nЕсли вы наблюдаете отключение интернета или если происходит что-то экстренное, пока интернет отсутствует, пишите нам смс на ","","","","","(File not included. Change data exporting settings to download.)","1125","484","","","","","","","","","","","","",""
"","","","","","","","","","phone","+370 625-096-21","","","","","","","","","","","","","","","","","",""
"","","","","","","","",".","","","","","","","","","","","","","","","","","","","",""
"","","","7992","message","2020-08-09T03:19:16","Беларусь головного мозга","9657985200","","","","","","(File not included. Change data exporting settings to download.)","1125","376","","","","","","","","","","","","",""
"","","","7993","message","2020-08-09T03:19:16","Беларусь головного мозга","9657985200","","","","","","(File not included. Change data exporting settings to download.)","1125","402","","","","","","","","","","","","",""
"","","","7994","message","2020-08-09T03:19:16","Беларусь головного мозга","9657985200","","","","","","(File not included. Change data exporting settings to download.)","1125","438","","","","","","","","","","","","",""
"","","","7995","message","2020-08-09T03:19:16","Беларусь головного мозга","9657985200","","","","","","(File not included. Change data exporting settings to download.)","1125","431","","","","","","","","","","","","",""
"","","","7996","message","2020-08-09T03:19:16","Беларусь головного мозга","9657985200","","","","","","(File not included. Change data exporting settings to download.)","1125","371","","","","","","","","","","","","",""
"","","","7997","message","2020-08-09T03:19:16","Беларусь головного мозга","9657985200","","","","","","(File not included. Change data exporting settings to download.)","1124","322","","","","","","","","","","","","",""
"","","","7998","message","2020-08-09T03:19:16","Беларусь головного мозга","9657985200","","","","","","(File not included. Change data exporting settings to download.)","1125","372","","","","","","","","","","","","",""
"","","","7999","message","2020-08-09T03:19:16","Беларусь головного мозга","9657985200","","","","","","(File not included. Change data exporting settings to download.)","1124","397","","","","","","","","","","","","",""
"","","","8000","message","2020-08-09T03:22:18","Беларусь головного мозга","9657985200","Одно можно сказать наверняка: перебои с интернетам сейчас происходят по ВСЕЙ стране. Не только в Минске. Проблемы с доступам к сайтам и ресурсам наблюдаются даже в небольших городах. Мы настоятельно просим вас присылать нам апдейты по ситуации текстом с подробным описанием. Вероятнее всего фото или видео вы просто не сможете прогрузить.","","","","","","","","","","","","","","","","","","","",""
"","","","8001","message","2020-08-09T03:23:23","Беларусь головного мозга","9657985200","‼️","","","","","","","","NEXTA","","","","","","","","","","","",""
