"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__text","messages__text__type","messages__text__text","messages__text__href","messages__edited","messages__photo","messages__width","messages__height","messages__reply_to_message_id","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds"
"Честные люди","public_channel","9900014418","378","message","2020-08-09T04:36:39","Честные люди","9900014418","Напоминаем!\n","","","","","","","","","","","","",""
"","","","","","","","","","text_link","Суперкраткая инструкция от Капитана Чеснока","https://youtu.be/l0u985IvAgk","","","","","","","","","",""
"","","","","","","","",".\n\nЕсли вы задаетесь вопросами «Что делать?», «Как быть?» и «Чем помочь?» — вспомните курс честного избирателя от Капитана Чеснока.\n\nВсего три минуты. Смотрим!\n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#всепочесноку","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#уНасЕстьГолос","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#честнаялента","","","","","","","","","","",""
"","","","379","message","2020-08-09T05:31:41","Честные люди","9900014418","❗️Зафиксированы факты выдачи недействительных бюллетеней. \n\n- Это образцы с одной или вообще без подписей членов комиссии на обороте \n- бюллетени с малозаметной точкой внутри или близко к квадрату напротив фамилии одного из кандидатов. \nЕсли вы используете подобный бюллетень, он будет признан недействительным. \n\n❓Что делать?\n\n✅ Зайдите в кабинку и сфотографируйте бракованный бюллетень, не ставьте в нем отметок. Вернитесь к столу комиссии и попросите выдать вам новый бюллетень, погасив и закрыв актом недействительный. Будьте вежливы. И не поддавайтесь на заверения, что вы ошиблись. \n\n✅ Получите правильный бюллетень, проверьте его и проголосуйте. Не забудьте сфотографировать. \n\n✅ Самое важное:  попытка выдать вам недействительный бюллетень — это попытка украсть ваш голос. Зафиксируйте это нарушение ","","","","2020-08-09T05:32:33","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","","","","","","","text_link","на Вики-Жалобе","https://docs.google.com/forms/d/e/1FAIpQLSe9ITYDIjFx7i5TmpboPG1fD3rI2LtF1wq6z7GZngwIazlKvg/viewform","","","","","","","","","",""
"","","","","","","","",".  Продублируйте информацию о нарушении в ","","","","","","","","","","","","",""
"","","","","","","","","","mention","@zubr_assist_bot","","","","","","","","","","",""
"","","","","","","",""," \nЕсли есть проблемы с отправкой фото — сохраняйте спокойствие и отправьте позже, когда будет нормальный интернет.\n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","380","message","2020-08-09T05:44:05","Честные люди","9900014418","НЕ ПАНИКУЙТЕ, ЕСЛИ ФОТОГРАФИЯ БЮЛЛЕТЕНЯ НЕ ОТПРАВЛЯЕТСЯ В ГОЛОС\n\nЛюди жалуются, что интернет работает плохо. А фотографии бюллетеней едва грузятся. Наши советы:\n📌 Не паникуйте. Просто фотографируйте бюллетень с двух сторон и сохраняйте фото.\n📌 Не отправляйте фото бюллетеней никуда, кроме чат-бота Голоса.\n📌 Присылайте фото тогда, когда появится интернет.\n\nБудьте внимательны. Напоминаем официальные адреса ботов Голоса:\nТелеграм: ","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
"","","","","","","","","","mention","@golosby_bot","","","","","","","","","","",""
"","","","","","","","","\nВайбер: viber://pa?chatURI=golos-by\n\n✊ Нам могут отключить интернет, но отключить нашу решимость ни у кого не получится. Поэтому уверенно фотографируйте бюллетень и отправляйте, как только чат-бот Голоса заработает ✊\n\n❗️В этом посте идёт речь о фотографии бюллетеней, которые надо отправлять в чат-бот Голоса. Фотографии с нарушениями загружаются отдельно и в этом посте не обсуждаются❗️\n\n","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#мычестныелюди","","","","","","","","","","",""
"","","","","","","",""," ","","","","","","","","","","","","",""
"","","","","","","","","","hashtag","#уНасЕстьГолос","","","","","","","","","","",""
"","","","381","message","2020-08-09T07:19:34","Честные люди","9900014418","","","","","","(File not included. Change data exporting settings to download.)","1080","1080","","","","","",""
