"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__width","messages__height","messages__text__type","messages__text__text","messages__text","messages__text__href","messages__photo","messages__actor","messages__actor_id","messages__action","messages__message_id","messages__reply_to_message_id","messages__forwarded_from","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen"
"МАЯ КРАІНА БЕЛАРУСЬ","public_channel","9812541226","7549","message","2020-08-09T00:00:03","2020-08-09T05:28:19","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","53","360","640","bold","Мы честные и смелые люди, и эта замечательная женщина один из ярких примеров!\n\n","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","Сторож минской школы раскрыла фальсификации на досрочном голосовании.\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","italic","От имени народа Беларуси обещаем помочь каждому человеку, который решится выступить против беспредела. И обещаем, что каждый человек, который творит этот беспредел, будет отвечать своей свободой и своим имуществом.\n\n","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Предложить анонимно новость \n","","https://t.me/MKBelbot","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Подписаться на МКБ","","https://t.me/joinchat/AAAAAEjffyoi9hgp9kVhTA","","","","","","","","","","","","",""
"","","","7550","message","2020-08-09T02:33:55","2020-08-09T05:11:53","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","1280","1280","","","Подумайте уже сейчас о том, чтобы скачать себе bridgefy. ","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","Android","","https://play.google.com/store/apps/details?id=me.bridgefy.main&hl=ru","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," и ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","AppStore","","https://apps.apple.com/us/app/bridgefy/id975776347","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",".\n\nПрисылайте нам свои новости через ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","mention","@MKBelbot","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","\n\nВ том случае, если тотально отключат интернет, вы можете сообщать нам экстренные новости в смс на специально созданный для этого номер: ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","+420 731 305 473 .\n\n","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","! ","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","Внимание, вы можете проверить работоспособность интернета (доступ к наиболее популярным сервисам) по ","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","text_link","этой ссылке","","https://api.webprobe.org/scan/","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""," !","","","","","","","","","","","","","",""
"","","","7551","message","2020-08-09T02:33:55","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","1280","1280","","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","7552","message","2020-08-09T02:33:55","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","1280","1280","","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","7553","message","2020-08-09T02:33:55","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","1280","1280","","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","",""
"","","","7554","message","2020-08-09T03:02:26","","МАЯ КРАІНА БЕЛАРУСЬ","9812541226","","","","","","","","bold","К нам продолжают поступать сообщения подобного содержания: \n\n","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","italic","""Начали ограничивать доступ в интернет по всей стране.\nКомпания варгейминг закрыла доступ к игре мир танков для жителей Беларуси, в связи с тем, что там создали целые кланы под ""погоней"" и массово пишут в чате ""Жыве Беларусь""\n\n","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","bold","А как у вас с интернетом? \n\n","","","","","","","","","","","","","","",""
