"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__text","messages__text__type","messages__text__text","messages__edited","messages__text__href","messages__forwarded_from","messages__photo","messages__width","messages__height","messages__actor","messages__actor_id","messages__action","messages__message_id","messages__reply_to_message_id","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds"
"Вясна / Правы чалавека ў Беларусі","public_channel","9636739710","1934","message","2020-08-09T02:10:00","Вясна / Правы чалавека ў Беларусі","9636739710","⚡️","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Рэпрэсіі з пачатку выбарчай кампаніі","","","","","","","","","","","","","","","",""
"","","","","","","","",". ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Дадзеныя Праваабарончага цэнтру ""Вясна"" на ранак 9 жніўня\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","🔴З пачатку бягучай выбарчай кампаніі ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","265 чалавек","","","","","","","","","","","","","","","",""
"","","","","","","",""," атрымалі агулам ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","3612 сутак арышту","","","","","","","","","","","","","","","",""
"","","","","","","",""," па адміністрацыйных артыкулах, выкарыстаных у мэтах палітычнага пераследу. ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","388 чалавек","","","","","","","","","","","","","","","",""
"","","","","","","",""," атрымалі штрафы агульным памерам больш за ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","288600 рублёў (каля 117.400$).\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","🔴Праваабаронцам вядома ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","як мінімум пра 1578 выпадкаў","","","","","","","","","","","","","","","",""
"","","","","","","",""," адвольных затрыманняў, якія адбыліся ў перыяд з 6 траўня па 8 жніўня.","","","","","","","","","","","","","","","","","",""
"","","","1935","message","2020-08-09T05:42:31","Вясна / Правы чалавека ў Беларусі","9636739710","❗️","","","2020-08-13T04:33:35","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","""Вясна"" пачынае весці спісы затрыманых 9 жніўня па ўсёй краіне.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","👉","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Спіс затрыманых у Мінску:","","","","","","","","","","","","","","","",""
"","","","","","","",""," можна паглядзець ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","на сайце","","https://spring96.org/be/news/98891","","","","","","","","","","","","","",""
"","","","","","","",""," і ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","ў табліцы","","https://cutt.ly/Ud21CaW","","","","","","","","","","","","","",""
"","","","","","","",""," (калі сайт не адчыняецца).\n\n👉","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Спіс затрыманых у іншых гарадах краіны:","","","","","","","","","","","","","","","",""
"","","","","","","",""," можна паглядзець ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","на сайце","","https://spring96.org/be/news/98892","","","","","","","","","","","","","",""
"","","","","","","",""," і ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","ў табліцы","","https://docs.google.com/spreadsheets/d/10uXOUL_4OCPocSLk7yVi6aXawqSI1xWTUWHTfCDH8LY/edit?usp=sharing","","","","","","","","","","","","","",""
"","","","","","","",""," (калі сайт не адчыняецца).\n\nКалі вас ці вашых блізкіх затрымалі, паведамляйце нам праз тэлеграм-бот ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@viasna_bot","","","","","","","","","","","","","","","",""
"","","","","","","",""," ці на ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","гарачую лінію","","","","","","","","","","","","","","","",""
"","","","","","","","",":\n\n▪️","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","phone","+375 29 543 38 66","","","","","","","","","","","","","","","",""
"","","","","","","",""," (у тым ліку Viber),\n▪️","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","mention","@ViasnaSOS","","","","","","","","","","","","","","","",""
"","","","","","","",""," - тэлеграм.\n▪️","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","phone","+ 375 17 377 55 40","","","","","","","","","","","","","","","",""
"","","","1936","message","2020-08-09T06:26:54","Вясна / Правы чалавека ў Беларусі","9636739710","⚠️Нам прыходзяць паведамленіі, што шмат у каго наш сайт ","","","2020-08-09T06:27:09","","","","","","","","","","","","","","",""
"","","","","","","","","","link","spring96.org","","","","","","","","","","","","","","","",""
"","","","","","","","",", на жаль, не адчыняецца. Таму спісы затрыманых таксама можна","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold"," глядзець у табліцах","","","","","","","","","","","","","","","",""
"","","","","","","","",", спасылкі на якія мы дадалі ў гэты пост: ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","https://t.me/viasna96/1935\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","p.s. Пакуль што наш сайт працуе як мінімум праз vpn-опера","","","","","","","","","","","","","","","","","",""
"","","","1937","message","2020-08-09T07:08:09","Вясна / Правы чалавека ў Беларусі","9636739710","У Мінску затрыманыя тры журналісты расійскага тэлеканала Дождь. Гэта здарылася на вуліцы Інтэрнацыянальнай. Затрымлівалі асобы ў цывільным.","","","","","Наша Нiва","","","","","","","","","","","","",""
"","","","1938","message","2020-08-09T07:30:15","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","Затрыманыя","2020-08-09T07:30:24","","","(File not included. Change data exporting settings to download.)","960","838","","","","","","","","","",""
"","","","","","","",""," журналісты ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","text_link","расійскага незалежнага тэлеканала","","https://spring96.org/be/news/98899","","","","","","","","","","","","","",""
"","","","","","","",""," ""Дождь"" -  ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Уладзімір Роменскі, Васіль Палонскі","","","","","","","","","","","","","","","",""
"","","","","","","",""," і аператар ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","Мікалай Анціпаў","","","","","","","","","","","","","","","",""
"","","","","","","","",".","","","","","","","","","","","","","","","","","",""
"","","","1939","message","2020-08-09T08:45:08","Вясна / Правы чалавека ў Беларусі","9636739710","","bold","Мы усилили наш прокси сервер для пользователей из Беларуси\n\n","","","Telegram Info","","","","","","","","","","","","",""
"","","","","","","","","Много лет мы планомерно выступаем за свободу слова в сети и свободу доступа к информации в Telegram. Сегодня в Беларуси важный день, и мы обязаны помочь белоруским пользователям в такой сложный момент. Поэтому ширина потока ","","","","","","","","","","","","","","","","","",""
