"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text","messages__text__type","messages__text__text","messages__text__href","messages__actor","messages__actor_id","messages__action","messages__message_id","messages__forwarded_from","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__title","messages__reply_to_message_id"
"БАЖ / BAJ","public_channel","9691800322","889","message","2020-08-09T00:29:41","2020-08-09T02:16:27","БАЖ / BAJ","9691800322","(File not included. Change data exporting settings to download.)","500","334","Всем доброе утро!\nМы начинаем большой текстовый онлайн об инцидентах с журналистами в день выборов. Все обновления будут в этом материале.\n\nТакже здесь памятки: \n\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","text_link","❇️ Права журналиста во время работы на избирательном участке\n\n","https://baj.by/be/analytics/razyasneniya-cik-prava-zhurnalista-vo-vremya-raboty-na-izbiratelnom-uchastke","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","❇️ ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","text_link","«Как работать на уличных акциях в Беларуси».\n\n","https://baj.by/ru/analytics/zashchiti-sebya-pamyatka-dlya-zhurnalistov-kak-rabotat-na-ulichnyh-akciyah-v-belarusi","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://baj.by/be/content/bazh-sledit-za-situaciey-v-den-vyborov-obnovlyaetsya","","","","","","","","","","","","","","","","","","",""
"","","","890","message","2020-08-09T03:51:45","","БАЖ / BAJ","9691800322","","","","✅ Задержанный вчера в Могилёве редактор сайта «Могилевский регион» ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","Дмитрий Соловьев","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," объявил голодовку в изоляторе временного содержания.\n \n\n✅ Жители Минска сообщают о проблемах с Telegram, VPN и другими сервисами. «Очень медленно грузятся файлы в Telegram без прокси-сервиса», «Очень медленно загружается YouTube», «Отваливаются Google-сервисы», «За Минском и в Минске не открывается платформа ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","zubr.in","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","», «Не открывается сайт Виктора Бабарико», «В офисе лег шифрованный трафик на ресурсы за пределами РБ. внутренние сайты РБ еще работают, мессенджеры тоже».\n \n\n✅ Глава ЦИК Лидия Ермошина в эфире ""Беларусь-1"" повторила, что в этом году нет традиционного пресс-центра для журналистов от ЦИК. И это якобы не вызвало возражений у ""так называемых независимых СМИ и блогеров"". ЦИК сообщил о явке на досрочном голосовании более 41%.\n  \n\n✅ Также стало, что ночью милиция пыталась проникнуть в квартиру гомельской журналистки Марии Булавинской. \n \n\n✅ Мы начинаем онлайн. Ночью стало известно, что в Минске в субботу была задержана переводчик ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","Анна Шамко","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","",". Она помогала с переводом польскому журналисту, который брал интервью у наблюдателей.\n\n\nВ чем обвиняют Анну пока неизвестно. Поздно вечером ее доставили в ЦИП на Акрестина. Ожидается, что в понедельник над ней пройдёт суд.","","","","","","","","","","","","","","","","","","","","",""
"","","","891","message","2020-08-09T04:26:03","","БАЖ / BAJ","9691800322","","","","","bold","✅ Адміністратару Telegram-канала «Мосты для жизни» далі 7 сутак","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," \n\nCуд Мастоўскага раёна 7 жніўня пакараў адміністратара Telegram-канала «Мосты для жизни» ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","bold","Аляксандра Мілюка","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," арыштам паводле адміністрацыйнага артыкула за дробнае хуліганства.\n\nСуддзя Дзмітрый Цівунчык прызнаў, што Аляксандр Мілюк 3 ліпеня парушыў грамадcкі парадак.  \n\n3 ліпеня адміністратара Telegram-канала «Мосты для жизни» Аляксандра Мілюка, які быў на той момант разам з малалетнім сынам, затрымалі ў Мастах супрацоўнікі міліцыі. У той дзень да яго падыйшоў невядомы мужчына і пачаў сябе правакацыйна паводзіць. У выніку міліцыя затрымала абодвух. На Мілюка склалі пратакол за дробнае хуліганства (арт. 7.1 КаАП).\n\nНагадаем, што 15 ліпеня супрацоўнікі Мастоўскага РАУС правялі агляд  дома Мілюка ў межах праверкі па крымінальнай справе паводле арт. 369 КК (публічная абраза прадстаўніка ўлады). У выніку агляду ў яго забралі мабільны тэлефон.\n\nПадставай для правядзення следчых дзеянняў сталі заявы супрацоўнікаў міліцыі Аляксея Літаша і Яўгена Кудрашова. Яны сцвярджаюць, што Мілюк 3 ліпеня змясціў у Telegram-канале “Мосты для жизни” відэа, у якім публічна выказваў у дачыненні да іх некарэктныя выразы. Міліцыянты запатрабавалі прыцягнуць яго да адказнасці за знявагу гонару і годнасці супрацоўнікаў органаў унутраных справаў.","","","","","","","","","","","","","","","","","","","","",""
"","","","892","message","2020-08-09T04:38:26","","БАЖ / BAJ","9691800322","","","","❌ В Бобруйске к журналистке ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","Bobr.by","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","",""," Алесе Латинской около 11:00 приходила милиция, ищут её мужа, Сергея Латинского, журналиста-видеоператора, наблюдателя на выборах от БХК","","","","","","","","","","","","","","","","","","","","",""
"","","","893","message","2020-08-09T04:56:44","","БАЖ / BAJ","9691800322","","","","❌ Интернет в Минске работает с перебоями \n \nОфициальная версия Национального центра реагирования на компьютерные инциденты (","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","CERT.BY","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","): ""Установлено, что атакам подвергалось оборудование, на котором размещены, в том числе, сайты Комитета государственной безопасности Республики Беларусь (","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","kgb.gov.by","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","",") и Министерства внутренних дел Республики Беларусь (","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","mvd.gov.by","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","). Воздействие продолжилось и 9.08.2020. Были совершены атаки в 2:52 и 6:17, их продолжительность составила около 1 часа для каждой"".","","","","","","","","","","","","","","","","","","","","",""
