"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__text","messages__text__type","messages__text__text","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__forwarded_from","messages__photo","messages__width","messages__height","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__reply_to_message_id","messages__edited","messages__text__href","messages__title"
"Работаем с Пушкиным!","public_channel","9712980906","4484","message","2020-08-09T03:02:16","Работаем с Пушкиным!","9712980906","Явка избирателей на досрочном голосовании на президентских выборах составила 41,7%.","","","","","","","","","","","","","","","","","","","","",""
"","","","4485","message","2020-08-09T03:04:59","Работаем с Пушкиным!","9712980906","Началось? ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","https://42.tut.by/695983","","","","","","","","","","","","","","","","","","",""
"","","","4486","message","2020-08-09T03:05:25","Работаем с Пушкиным!","9712980906","","","","У вас нормально работает интернет?","False","24656","Все хорошо","0","False","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","Лагает","0","False","","","","","","","","","","","","",""
"","","","4487","message","2020-08-09T03:39:23","Работаем с Пушкиным!","9712980906","⚡️","","","","","","","","","отчислено","(File not included. Change data exporting settings to download.)","720","1280","","","","","","","","",""
"","","","","","","","","","bold","Отчислята, внимание","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","! Поступает много информации об испорченных заранее бюллетенях. При получении бюллетеня ВНИМАТЕЛЬНО осмотрите его на наличие заранее проставленных отметок. В случае, если на вашем бюллетене стоит посторонняя отметка, требуйте признания его недействительным и уничтожения этого бюллетеня при вас!","","","","","","","","","","","","","","","","","","","","",""
"","","","4488","message","2020-08-09T04:22:46","Работаем с Пушкиным!","9712980906","На въездах в столицу сотрудники ГАИ и военные с автоматами проверяют автомобили.","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","720","540","","","","","","","","",""
"","","","4489","message","2020-08-09T04:22:46","Работаем с Пушкиным!","9712980906","","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","720","502","","","","","","","","",""
"","","","4490","message","2020-08-09T04:22:46","Работаем с Пушкиным!","9712980906","","","","","","","","","","TUT.BY новости","(File not included. Change data exporting settings to download.)","720","534","","","","","","","","",""
"","","","4491","message","2020-08-09T05:59:08","Работаем с Пушкиным!","9712980906","Информация ЦИК на 12:00. Выборы в стране состоялись. \n\nЯвка составила более 54%.","","","","","","","","","","","","","","","","","","","","",""
"","","","4492","message","2020-08-09T07:28:28","Работаем с Пушкиным!","9712980906","Вероника Цепкало выехала из Беларуси.","","","","","","","","","","","","","","","","","","","","",""
"","","","4493","message","2020-08-09T12:42:51","Работаем с Пушкиным!","9712980906","При помощи приложения Psiphon работает Instagram.","","","","","","","","","","(File not included. Change data exporting settings to download.)","341","356","","","","","","","","",""
"","","","4494","message","2020-08-09T13:12:25","Работаем с Пушкиным!","9712980906","","bold","Предварительные данные государственного экзит-пола","","","","","","","","","","","","","","","","","","",""
"","","","","","","","",":\n","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","bold","\n","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","Александр Лукашенко — 79,7%,\nСветлана Тихановская — 6,8%, \nАнна Канопацкая — 2,3%, \nАндрей Дмитриев — 1,1%, \nПротив всех — 9,2%.","","","","","","","","","","","","","","","","","","","","",""
"","","","4495","message","2020-08-09T13:41:34","Работаем с Пушкиным!","9712980906","ЦИК озвучил предварительные результаты голосования на закрывшихся в 20:00 участках в 5 регионах республики. \n\nДмитриев — 1,34%\nЧеречень — 1,44%\nКонопацкая — 2,38%\nТихановская — 6,98%\nЛукашенко — 82,08%\n\nПротив всех проголосовали 4,82% избирателей.","","","","","","","","","","","","","","","","","","","","",""
"","","","4496","message","2020-08-09T15:16:56","Работаем с Пушкиным!","9712980906","В Минске ОМОН начал задерживать людей. Окружающие бросились их отбивать.","","","","","","","","","TUT.BY новости","","1280","720","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","42","","","",""
"","","","4497","message","2020-08-09T16:12:30","Работаем с Пушкиным!","9712980906","Жесткие стычки с ОМОНом в центре Минска. Люди толпой пытаются отбиваться от силовиков.","","","","","","","","","TUT.BY новости","","1280","720","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","57","","","",""
"","","","4498","message","2020-08-09T16:15:39","Работаем с Пушкиным!","9712980906","","bold","На проспекте Победителей в районе стелы автозак сбил человека, стоявшего на проезжей части","","","","","","","TUT.BY новости","","","","","","","","","","","",""
"","","","","","","","",", сообщил ","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","link","TUT.BY","","","","","","","","","","","","","","","","","","",""
