"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__text","messages__edited","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__width","messages__height","messages__reply_to_message_id","messages__text__type","messages__text__text","messages__photo","messages__forwarded_from","messages__text__href","messages__actor","messages__actor_id","messages__action","messages__message_id","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__sticker_emoji"
"#МотолькоПомоги этому городишко от 3% избавиться","public_channel","9702507543","9589","message","2020-08-09T01:19:14","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Пишут что начал отваливаться VPN у многих пользователей.","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","9590","message","2020-08-09T02:32:08","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","Сообщения о «нельзя будет въехать в Минск в день выборов» который раз не подтверждаются. Въезд и выезд в город - спокойный. На основных трассах на подъезде к городу стоят сотрудники ГАИ(с начала недели) и сегодня замечены военные джипы. Но как видно - тормозят выборочно.\n\nНа видео - въезд в город со стороны Логойска.\nP.s. Давайте реагировать на факты, а не вбросы и панику.","2020-08-09T02:42:37","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","7","464","848","","","","","","","","","","","","","","","","",""
"","","","9591","message","2020-08-09T03:10:29","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","«Па ашчучшэниям» проблемы с интернетом связаны с попыткой заблокировать доступ к сайтам ","2020-08-09T03:12:47","","","","","","","","9589","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","link","zubr.in","","","","","","","","","","","","","",""
"","","","","","","",""," и ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","link","https://belarus2020.org","","","","","","","","","","","","","",""
"","","","","","","","","\n\nПроблемы с vpn начались около 8 утра, в то же время, когда открылись участки для голосования. Цель - чтобы проголосовавшие не смогли сообщить информацию на этих 2 ресурса.","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","9592","message","2020-08-09T03:39:24","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","«Трасса Микашевичи-Минск, всех останавливают и проверяют документы, кто едет на Минск, пока никого не развернули»\nУточнение - пост стоит возле пересечения с трассой M10 (т.е. прямо возле Микашевич)","2020-08-09T03:41:21","","","","","","1280","591","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9594","message","2020-08-09T03:52:46","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","","","","","","","","","","","bold","Жители Минска сообщают о проблемах с Telegram, VPN и другими сервисами\n","","Беларуский Телеграм","","","","","","","","","","","",""
"","","","","","","","","\nОб этом пишут крупнейшие беларуские Telegram каналы, например ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","text_link","NEXTA","","","https://t.me/nexta_live/5358","","","","","","","","","","",""
"","","","","","","",""," и ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","text_link","Беларусь головного мозга","","","https://t.me/belamova/7992?single","","","","","","","","","","",""
"","","","","","","","",", тысячи пользоватей из Минска и крупнейший новостной портал ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","text_link","TUT.BY","","","https://42.tut.by/695983?tg","","","","","","","","","","",""
"","","","","","","","","\n\nВ очередной раз напомним — запасайтесь ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","text_link","прокси серверами","","","http://t.me/CatalogTelegram/953","","","","","","","","","","",""
"","","","","","","","",", добавьте себе сразу несколько, а лучше поочередно все из списка.\n\nПрокси удобнее использовать, если вы хотите обойти блокировку именно Telegram, если заблокированы и другие сервисы, используйте VPN.","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","9595","message","2020-08-09T03:59:09","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","","2020-08-09T03:59:39","","","","","","1280","1280","","text_link","Мы","(File not included. Change data exporting settings to download.)","","https://t.me/bnr100by","","","","","","","","","","",""
"","","","","","","",""," уже писали что делать когда начнутся проблемы с интернетом. \nНа данный момент помогает сервис - ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","text_link","Psiphon","","","https://www.psiphon3.com/be/index.html","","","","","","","","","","",""
"","","","","","","","",", скачивайте и пользуйтесь!\n\nДругие рекомендации: ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","link","https://t.me/bnr100by/306","","","","","","","","","","","","","",""
"","","","9596","message","2020-08-09T04:16:27","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","«один из каналов связи провайдера. входящее направление. видно, как в 8 утра трафики вдруг просели, хотя ожидался естественный рост, как в левой части графика. по информации из сми нцот говорит о ddos-e, но судя по тому, как по-разному тупят сервисы, бегающие через этот канал, больше мыслей о том, что dpi на трубах выше загибается.\n\n ipv6 протокол при этом перестал работать»","2020-08-09T04:17:00","","","","","","1280","449","","","","(File not included. Change data exporting settings to download.)","","","","","","","","","","","","",""
"","","","9597","message","2020-08-09T04:35:27","#МотолькоПомоги этому городишко от 3% избавиться","9702507543","","","","","","","","","","","bold","‼️Чтобы максимально снизить риски того, что ваш голос не будет учтен, следуйте ниже перечисленным инструкциям:\n\n","","МАЯ КРАІНА БЕЛАРУСЬ","","","","","","","","","","","",""
