"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text__type","messages__text__text","messages__text","messages__text__href","messages__forwarded_from","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__reply_to_message_id","messages__edited","messages__actor","messages__actor_id","messages__action","messages__message_id"
"NEXTA Live","public_channel","10003210496","11125","message","2020-09-14T02:52:59","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1280","960","bold","Пока Лукашенко в Сочи пытается втюхать Беларусь Путину по наиболее выгодному для себя прайсу, простые россияне солидарны с нами — простыми белорусами.\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Сегодня в Уфе активисты выступающие за сохранение Белорецкого деревянного моста вывесили растяжку ","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","«Жыве Беларусь! Живи Белорецк!»","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",".\n\nНа своей ","","","","","","","","","","","","",""
"","","","","","","","","","","","text_link","странице ВК","","https://vk.com/belor_most","","","","","","","","","","","",""
"","","","","","","","","","","","",""," ребята рассказывают: «","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","На развитие туризма в Белорецком районе Республикой, Сбербанком и частными инвесторами выделено 7,7 млрд. руб., в которые не вошло строительство моста. Интересы власти выше интересов людей. Спонсируются те объекты, которые как-то приносили звенящий доход. Наша история, здоровье, комфорт и умиротворение не конвертируются в рубли. Отсюда непонимание власти, зачем мост инвестировать","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","»\n\nМы очень надеемся, что активистам удастся сохранить легендарный мост. И, конечно, спасибо вам за солидарность, друзья!🤝","","","","","","","","","","","","",""
"","","","11126","message","2020-09-14T04:35:52","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","960","1280","bold","Отец и сын, перепрыгнувшие через забор шведского посольства, встретились с послом\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","В пятницу","","","","","","","","","","","","",""
"","","","","","","","","","","","text_link"," 11 сентября","","https://t.me/nexta_live/11052","","","","","","","","","","","",""
"","","","","","","","","","","","",""," Виталий и Владислав Кузнечики из Витебска просили политического убежища из-за преследований силовиками. После отказа отец и сын проникли на территорию шведского посольства, перепрыгнув через забор. Выходные мужчины провели в посольстве. Посол Швеции обещала заняться делом семейства сегодня.","","","","","","","","","","","","",""
"","","","11127","message","2020-09-14T04:51:59","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","1280","854","bold","Светлана Тихановская о встрече Путина с Лукашенко:","","","Светлана Тихановская","","","","","","","","","","",""
"","","","","","","","","","","","","","\n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","“Я хочу напомнить Владимиру Путину: что бы вы ни приняли и о чем бы вы ни договорились во время встречи в Сочи — это не будет иметь законной силы. Все договоры, подписанные с нелегитимным Лукашенко, будут пересмотрены новой властью. Потому что беларусский народ отказал Лукашенко в доверии и поддержке на выборах. Я очень сожалею, что вы решили вести диалог с диктатором, а не с беларусским народом”.","","","","","","","","","","","","","",""
"","","","11128","message","2020-09-14T06:56:24","NEXTA Live","10003210496","","720","1280","","","‼️","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","98","","","","","",""
"","","","","","","","","","","","bold","Битые стёкла, погоня, стрельба — что произошло вчера на Камайской?","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","\n\nВчера мы рассказывали о том, что очень ","","","","","","","","","","","","",""
"","","","","","","","","","","","text_link","странные дела происходят","","https://t.me/nexta_live/11116","","","","","","","","","","","",""
"","","","","","","","","","","","",""," на улице Камайской в Минске. Как оказалось, ","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","была погоня — силовики преследовали белый УАЗ Патриот ","","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","(к слову, такие автомобили есть и в автопарке ОМОНа)","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",", а позже ","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","открыли огонь из табельного оружия","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",". Вот что говорят случайные свидетели происшествия:\n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","«На Т-образном перекрестке Тимирязева-Нарочанская в 18:25 на красный свет остановился серебристый внедорожник, за ним синий бус с тонированными окнами. Из буса выскочили люди в чёрном и начали дубинками бить стекла. Водитель резко стартанул, за ним экипаж ГАИ и бус»","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",".\n\nВ районе улицы Камайской силовикам удалось догнать УАЗ:\n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","«2 машины ГАИ и бус примчались со стороны Веснянки, свернули на Камайскую. Сразу же остановились. Начали выбегать из машины. ГАИшник выхватил пистолет и выстрелил в кого-то, кто был за машинами. Пистолет был привязан к поясу черным проводом, как от старых телефонов»","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",".","","","","","","","","","","","","",""
"","","","11129","message","2020-09-14T08:38:21","NEXTA Live","10003210496","(File not included. Change data exporting settings to download.)","708","458","bold","Макрон в разговоре с Путиным заявил, что Франция разделяет выводы ЕС об отравлении Навального\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Эммануэль Макрон в ходе разговора с Владимиром Путиным выразил обеспокоенность ситуацией с Алексеем Навальным. Также он заявил, что Париж провёл собственный анализ, который подтвердил, что Навальный был отравлен именно «Новичком».\n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","«Франция разделяет выводы ряда европейских партнеров в том, что касается фактов отравления с применением вещества „Новичок“ — нарушение международных норм использования химического оружия»,","","","","","","","","","","","","","",""
"","","","","","","","","","","","",""," — заявил Макрон.\n\nВ Кремле сообщили, что Путин подчеркнул неуместность «ни на чем не основанных обвинений российской стороны в данной ситуации».","","","","","","","","","","","","",""
"","","","11130","message","2020-09-14T10:01:42","NEXTA Live","10003210496","","","","","","Ольга Чемоданова, пресс-секретарь МВД, прокомментировала случай в Жодино, где существо в милицейской форме с размаху ","","","","","","","","","","","","",""
"","","","","","","","","","","","text_link","ударило женщину по лицу","","https://t.me/nexta_live/11098","","","","","","","","","","","",""
"","","","","","","","","","","","","",". Оказывается, ","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","это была… самооборона","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",":\n\n","","","","","","","","","","","","",""
"","","","","","","","","","","","italic","«Неожиданно из толпы вышла женщина и устремилась к сотруднику милиции. Приблизившись, она резко направила камеру телефона милиционеру в лицо.  Исходя из ситуации тот предположил, что последует удар. Мгновенной реакцией явилось применение физической силы для самозащиты и задержания»","","","","","","","","","","","","","",""
"","","","","","","","","","","","","",".","","","","","","","","","","","","",""
"","","","11131","message","2020-09-14T10:18:48","NEXTA Live","10003210496","","","","text_link","​​","","https://telegra.ph/file/a97b5319297ed0ddd1626.jpg","","","","","","","","","","","",""
"","","","","","","","","","","","","","❗️","","","","","","","","","","","","",""
"","","","","","","","","","","","bold","Путин пообещал Лукашенко полтора миллиарда долларов. Что означает такой жест?\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Стал ясен мотив полёта диктатора на поклон Путину в Сочи. Полтора миллиарда долларов — это приблизительно та сумма, на которую сократился золото-валютный резерв за месяц после «выборов». Сегодня и вовсе стало известно, что ","","","","","","","","","","","","",""
"","","","","","","","","","","","text_link","август 2020 отметился худшими показателями","","https://t.me/lukanomika/2281","","","","","","","","","","","",""
