"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text","messages__text__type","messages__text__text","messages__reply_to_message_id","messages__file","messages__media_type","messages__mime_type","messages__duration_seconds","messages__thumbnail","messages__text__href","messages__forwarded_from","messages__actor","messages__actor_id","messages__action","messages__message_id"
"Onliner","public_channel","9598013669","13755","message","2020-08-09T01:32:57","2020-08-09T01:40:58","Onliner","9598013669","(File not included. Change data exporting settings to download.)","1100","825","По данным ЦИК досрочно проголосовали 41,7% избирателей\n\n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://people.onliner.by/2020/08/09/v-belarusi-proxodyat-vybory","","","","","","","","","","","",""
"","","","13756","message","2020-08-09T02:01:40","2020-08-09T02:07:05","Onliner","9598013669","","","","Стали появляться сообщения о проблемах с интернетом по стране. У некоторых пользователей не получается зайти на YouTube и Telegram, а также популярные новостные порталы, не работает или плохо работает VPN-подключение, плохо грузятся медиафайлы.","","","","","","","","","","","","","",""
"","","","13757","message","2020-08-09T02:05:06","","Onliner","9598013669","","","","Явка избирателей на досрочное голосование по областям и столице такая:\n\n📍Гомельская область — 54,44%;\n\n📍Могилевская область — 49,92%;\n\n📍Брестская область — 38,4%;\n\n📍Витебская область — 39,34%;\n\n📍Гродненская область — 38,6%;\n\n📍Минская область — 39,66%;\n\n📍Минск — 33,4%.","","","13755","","","","","","","","","","",""
"","","","13758","message","2020-08-09T02:43:12","","Onliner","9598013669","","1080","1920","Хроника главного дня выборов по ссылке. Обновляется в течение дня \n\n","","","","(File not included. Change data exporting settings to download.)","video_file","video/mp4","27","","","","","","",""
"","","","","","","","","","","","","","link","https://people.onliner.by/2020/08/09/v-belarusi-proxodyat-vybory","","","","","","","","","","","",""
"","","","13759","message","2020-08-09T03:01:16","","Onliner","9598013669","(File not included. Change data exporting settings to download.)","1280","960","В Беларуси наблюдаются проблемы с интернетом. Не работают многие популярные VPN-сервисы, в некоторых магазинах появились объявления о возможных технических сбоях в работе терминалов.\n \n","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://tech.onliner.by/2020/08/09/belorusy-zhaluyutsya-na-problemy-s-dostupom-v-internet","","","","","","","","","","","",""
"","","","13760","message","2020-08-09T03:16:34","","Onliner","9598013669","","","","Заместитель гендиректора «Белтелекома» по техническим вопросам Вадим Шайбаков вот так прокомментировал проблемы с интернетом: \n\n","","","13759","","","","","","","","","","",""
"","","","","","","","","","","","","","italic","«В настоящее время мы наблюдаем перебои с доступом к некоторым ресурсам и перегрузку каналов из-за зарубежного трафика в большом количестве. Пока не можем определить, генерируют его люди или машины — сейчас работаем над этим»","","","","","","","","","","","",""
