"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__text__type","messages__text__text","messages__text","messages__text__href","messages__photo","messages__width","messages__height","messages__forwarded_from","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds"
"Пресс-секретарь МВД Беларуси","public_channel","9828736373","1890","message","2020-08-10T04:57:47","2020-08-22T07:10:48","Пресс-секретарь МВД Беларуси","9828736373","hashtag","#МВД_ОФИЦИАЛЬНО","","","","","","","","","","",""
"","","","","","","","","","","","\n \nВ ночь с 9 по 10 августа 2020 года в стране были зафиксированы очаговые сборы граждан в районе избирательных участков и на центральных площадях в 33 населенных пунктах. \n\nВсего по стране за участие в несанкционированных массовых мероприятиях было задержано около 3 тысяч человек. Из них около тысячи в Минске и более двух - в других регионах республики. В результате столкновений пострадали более 50 граждан, а также 39 сотрудников милиции, некоторые из них в настоящее время госпитализированы.\n\nВ Минске в 22.00 в районе стелы «Минск – город Герой» протестующие зажигали фаеры, разбрасывали на проезжую часть шипы, гвозди, сооружали баррикады из мобильных турникетов, разбирали тротуарную плитку и забрасывали ею и иными предметами правоохранителей. \n\nАктивное противостояние органам правопорядка оказано в Пинске, где группа агрессивно настроенных граждан с использованием заостренных кольев, прутов, камней и арматуры попытались организовать нападение на сотрудников милиции. Часть граждан, доставленных в лечебные учреждения страны, находились в состоянии алкогольного опьянения. \n\n❗️ ","","","","","","","","","",""
"","","","","","","","","","bold","Необходимо отметить, что в отношении нарушителей боевое оружие не применялось. Погибших нет.\n\n","","","","","","","","","","",""
"","","","","","","","","","mention","@pressmvd","","","","","","","","","","",""
"","","","1891","message","2020-08-10T16:43:22","2020-08-10T16:48:59","Пресс-секретарь МВД Беларуси","9828736373","hashtag","#МВД_ОФИЦИАЛЬНО","","","","","","","","","","",""
"","","","","","","","","","",""," \n\nСегодня, 10 августа около 23.00, в ходе массовых беспорядков в Минске на ул. Притыцкого, толпа строила баррикады для блокирования движения. В ходе противостояния со спецназом, прибывшим для деблокирования площади, один из протестующих пытался бросить неустановленное взрывное устройство в сторону правоохранителей. Оно взорвалось в руке, мужчина получил травмы несовместимые с жизнью. \n\n⚠️ Сейчас на месте происшествия работает следственно-оперативная группа, устанавливаются все обстоятельства происшествия.\n\n","","","","","","","","","",""
"","","","","","","","","","mention","@pressmvd","","","","","","","","","","",""
"","","","1892","message","2020-08-11T06:15:02","2020-08-11T06:15:27","Пресс-секретарь МВД Беларуси","9828736373","hashtag","#МВД_ОФИЦИАЛЬНО","","","","","","","","","","",""
"","","","","","","","","","","","\n\nНакануне 10 августа различные интернет-ресурсы разместили призывы собраться в этот день в центральной части населенных пунктов страны для участия в несанкционированных мероприятиях.\n\nМинистерством внутренних дел в пределах компетенции приняты необходимые меры по охране правопорядка и обеспечению общественной безопасности.\nВ ночь с 10 на 11 августа отмечены очаговые сборы граждан в ряде городов, наиболее массовые – в Минске, Бресте, Могилеве и Новополоцке.\n\nЗафиксированы факты открытого противостояния органам правопорядка, многочисленные нападения на сотрудников милиции и повреждения транспортных средств. В результате противоправных действий пострадали 21 сотрудник органов внутренних дел и военнослужащий внутренних войск, пять из них госпитализированы.\n\nВ Минске группы граждан во время передвижения запускали дымовые шашки и бутылки с зажигательной смесью. На дорогах столицы некоторые водители транспортных средств умышленно стопорили движение, беспричинно делая остановки и используя звуковой сигнал. Отмечались случаи блокирования дорожного движения специально сооруженными препятствиями.\n\nВ Минске и Новополоцке сотрудники органов внутренних дел и военнослужащие внутренних войск были вынуждены активно применять спецсредства для пресечения противоправных действий.\n\nВсего по стране задержано более двух тысяч человек, в том числе за участие в несанкционированных массовых мероприятиях.\n\nВ настоящее время во взаимодействии с заинтересованными осуществляется правовая оценка иных противоправных действий.\n\nP.S. Информацию о количестве обратившихся в лечебные учреждения страны и госпитализированных дополнительно сообщит Министерство здравоохранения.\n\n","","","","","","","","","",""
"","","","","","","","","","mention","@pressmvd","","","","","","","","","","",""
"","","","1893","message","2020-08-11T13:26:42","","Пресс-секретарь МВД Беларуси","9828736373","hashtag","#ОФИЦИАЛЬНО","","","","","","","","","","",""
"","","","","","","","","","",""," ","","","","","","","","","",""
"","","","","","","","","","hashtag","#ГУВД_МИНСК","","","","","","","","","","",""
"","","","","","","","","","","","\n\n⚡️ ","","","","","","","","","",""
"","","","","","","","","","bold","Информацию о задержанных во время несанкционированных массовых мероприятий в Минске можно получить круглосуточно.\n\n","","","","","","","","","","",""
"","","","","","","","","","","","Для этого необходимо позвонить 📞 на линию 102 и назвать фамилию, имя, отчество и дату рождения разыскиваемого. Сотрудники сообщат, есть ли человек в списке задержанных до суда за совершение правонарушения. Сведения о месте содержания гражданина не разглашаются.\n\n","","","","","","","","","",""
"","","","","","","","","","mention","@pressmvd","","","","","","","","","","",""
"","","","1894","message","2020-08-12T05:13:35","","Пресс-секретарь МВД Беларуси","9828736373","bold","Здравствуйте!","","","","","","","","","","",""
"","","","1895","message","2020-08-12T05:13:54","2020-08-12T06:47:55","Пресс-секретарь МВД Беларуси","9828736373","text_link","​​","","https://youtu.be/9yqNEiJEnKs","","","","","","","","",""
"","","","","","","","","","hashtag","#МВД_ОФИЦИАЛЬНО","","","","","","","","","","",""
"","","","","","","","","","","","\n\nВ ночь с 11 на 12 августа в стране были отмечены очаговые сборы граждан в 25 населенных пунктах.\n\nВ столице и ряде крупных городов имели место отдельные попытки перекрытия движения общественного транспорта, а также факты открытого противостояния органам порядка.\n\nЗа участие в несанкционированных массовых мероприятиях задержаны более тысячи человек. По информации Минздрава  за медицинской помощью обратился 51 гражданин. В результате противоправных действий телесные повреждения различной степени тяжести причинены 14 сотрудникам милиции и военнослужащим внутренних войск, некоторые из них госпитализированы.\n\n🔖 В Минске примерно в 22:00 по ул. Притыцкого около 400 человек вышли на проезжую часть, заблокировав движение транспорта. Спустя двадцать пять минут движение было восстановлено, толпа рассредоточена.\n\n🔖 В Жодино водитель автомобиля «Ниссан» совершил наезд на военнослужащего, после чего скрылся. Пострадавший с многочисленными травмами доставлен в лечебное учреждение.\n💬","","","","","","","","","",""
"","","","","","","","","","italic","Всего за сутки на правоохранителей было совершено 5 умышленных наездов с использованием автомобилей.\n\n","","","","","","","","","","",""
"","","","","","","","","","","","🔖 В Бресте на сотрудников милиции напала группа агрессивно настроенных граждан с арматурой в руках. Предупредительные выстрелы вверх их не остановили. Для защиты жизни и здоровья сотрудников оружие было применено на поражение. Один из нападавших ранен. \n\n🔖 В Жабинке неизвестный бросил бутылку с зажигательной смесью в направлении служебной машины, в результате чего под автомобилем загорелась тротуарная плитка.\n\n⚠️ ","","","","","","","","","",""
"","","","","","","","","","bold","Следственными органами по фактам нападения на сотрудников возбуждено 17 уголовных дел.\n\n","","","","","","","","","","",""
"","","","","","","","","","","","🔜 информация будет дополнена.\n\n","","","","","","","","","",""
"","","","","","","","","","mention","@pressmvd","","","","","","","","","","",""
"","","","1896","message","2020-08-12T08:17:41","","Пресс-секретарь МВД Беларуси","9828736373","text_link","​","","https://youtu.be/c5diGLnqG0w","","","","","","","","",""
"","","","","","","","","","hashtag","#ГУБОПИК_МВД","","","","","","","","","","",""
"","","","","","","","","","",""," \n\n","","","","","","","","","",""
"","","","","","","","","","bold","⚡️ В Минске предотвращен разбой на благотворительную организацию\n\n","","","","","","","","","","",""
