"name","type","id","messages__id","messages__type","messages__date","messages__from","messages__from_id","messages__text","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__width","messages__height","messages__forwarded_from","messages__text__type","messages__text__text","messages__text__href","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__edited","messages__photo"
"Светлана Тихановская","public_channel","9927689195","73","message","2020-08-11T09:01:35","Светлана Тихановская","9927689195","Мы поддерживаем всех, кто протестует против фальсификаций и борется за свои права мирными способами. Мы солидарны со всеми, кто отстаивает свое право на лучшее будущее для себя и своих детей.\nМы против насилия и просим власти не применять насилие против мирных граждан.\nМы предлагаем начать диалог о мирной передаче власти народу без насилия и потрясений.\nШтаб Тихановской.","","","","","","","","","","","","","","","","","","",""
"","","","74","message","2020-08-11T12:33:04","Светлана Тихановская","9927689195","Вероника Цепкало | обращение","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","134","608","848","","","","","","","","","","","",""
"","","","75","message","2020-08-14T04:55:31","Светлана Тихановская","9927689195","Обращение | Тихановская Светлана\n","","","","","","","","Страна Для Жизни","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","link","https://youtu.be/N3OspbawDCA","","","","","","","","",""
"","","","76","message","2020-08-14T08:24:12","Светлана Тихановская","9927689195","","","","","","","","","","bold","Мы призываем власть к диалогу.  ","","","","","","","","",""
"","","","","","","","","\n\nДобрый день, друзья.\n\nМой штаб, штаб Светланы Тихановской, продолжает работать. Главой штаба по-прежнему остается Мария Мороз. Она находится со мной и продолжает руководить штабом. Я подтверждаю полномочия Ольги Ковальковой и Николая Козлова как моих доверенных лиц, которые будут координировать действие моего штаба в Беларуси.  \n\nЯ заявляю, что мы готовы к диалогу с властями. \n\nС учетом происходящего в стране и необходимости принятия неотложных мер для восстановления законности в Беларуси, я, Светлана Тихановская, инициирую создание Координационного совета для обеспечения трансфера власти. В этот совет могут войти представители гражданского общества, уважаемые и известные белорусы, профессионалы своего дела. Я поручаю своему доверенному лицу Ольге Ковальковой и адвокату Максиму Знаку принимать заявки о выдвижении членов совета от организаций и объединений граждан. \n\nСпасибо всем людям, всем организациям, которые поддержали меня и готовы помочь в переговорном процессе. \n\nЯ прошу вас объединиться в координационный совет. Нам очень нужна ваша помощь и опыт. Нам нужны ваши связи, контакты, экспертные советы и поддержка. В этот координационный совет должны войти все, кто заинтересован в диалоге и мирной передаче власти — трудовые коллективы, партии, профсоюзы и другие организации гражданского общества.  \n\nЯ обращаюсь к международному сообществу, европейским странам с просьбой помочь нам в организации диалога с беларускими властями. \n\nЯ восхищаюсь беларусами. Спасибо, мои дорогие!  Мы сделали  невозможное. Мы показали, что нас большинство. И эта страна принадлежит нам, народу Беларуси, а не одному человеку. \n\nЯ выражаю сочувствие каждому пострадавшему в эти дни, каждой семье. Мне было очень тяжело смотреть на то насилие, в которую власть погрузила наши города за последнюю неделю. Этого никогда не должно повториться.\n\nВласть должна показать готовность к диалогу с народом. \nЭто значит, отпустить всех задержанных. \nЭто значить, убрать с улиц городов ОМОН и войска.\nЭто значит возбудить уголовное дело против тех, кто отдавал преступные приказы избивать и стрелять в людей. \n\nЯ обращаюсь к мэрам городов. Выйдите и начните разговаривать, слушать людей. Это в ваших компетенциях организовать законные и мирные митинги на площадях городов. \n\nЯ обращаюсь к сотрудникам милиции, армии и другим силовикам. Не исполняйте преступных приказов. Поговорите с вашим начальством, остановите кровопролитие. Вы давали присягу служить Республике Беларусь и своему народу. Мы, люди будем благодарны каждому, кто станет на сторону народа.","","","","","","","","","","","","","","","","","","",""
"","","","77","message","2020-08-15T08:21:46","Светлана Тихановская","9927689195","","","","","","","","","Страна Для Жизни","text_link","Подпишите петицию","https://www.change.org/p/%D0%BF%D1%80%D0%B8%D0%B7%D0%BD%D0%B0%D0%B9%D1%82%D0%B5-%D1%81%D0%B2%D0%B5%D1%82%D0%BB%D0%B0%D0%BD%D1%83-%D1%82%D0%B8%D1%85%D0%B0%D0%BD%D0%BE%D0%B2%D1%81%D0%BA%D1%83%D1%8E-%D0%B5%D0%B4%D0%B8%D0%BD%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D1%8B%D0%BC-%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD%D0%BD%D0%BE-%D0%B8%D0%B7%D0%B1%D1%80%D0%B0%D0%BD%D0%BD%D1%8B%D0%BC-%D0%BF%D1%80%D0%B5%D0%B7%D0%B8%D0%B4%D0%B5%D0%BD%D1%82%D0%BE%D0%BC-%D0%B1%D0%B5%D0%BB%D0%B0%D1%80%D1%83%D1%81%D0%B8","","","","","","","",""
"","","","","","","","","\nПризнайте Светлану Тихановскую единственным законно избранным Президентом Беларуси!","","","","","","","","","","","","","","","","","","",""
"","","","78","message","2020-08-15T16:11:22","Светлана Тихановская","9927689195","","","","","","","","","Telegram Беларусь","","","","За кого Вы проголосовали на выборах президента Республики Беларусь?","True","2406731","Андрей Дмитриев","12594","False","",""
"","","","","","","","","","","","","","","","","","","","","","","","Анна Канопацкая","5803","False","",""
