"name","type","id","messages__id","messages__type","messages__date","messages__edited","messages__from","messages__from_id","messages__photo","messages__width","messages__height","messages__text","messages__text__type","messages__text__text","messages__file","messages__thumbnail","messages__media_type","messages__mime_type","messages__duration_seconds","messages__forwarded_from","messages__reply_to_message_id","messages__poll__question","messages__poll__closed","messages__poll__total_voters","messages__poll__answers__text","messages__poll__answers__voters","messages__poll__answers__chosen","messages__text__href"
"TUT.BY новости","public_channel","9668803208","9842","message","2020-08-09T01:12:22","2020-08-09T01:14:58","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","480","День выборов. Сегодня Беларусь выбирает президента.\n\nВся актуальная информация.\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/695965.html?tg","","","","","","","","","","","","","",""
"","","","9843","message","2020-08-09T01:14:31","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","800","За пять дней досрочного голосования в выборах поучаствовали более 40% избирателей.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/695976.html?tg","","","","","","","","","","","","","",""
"","","","9844","message","2020-08-09T01:30:08","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","480","В Браславе на участке, где лишили аккредитации наблюдателя-педагога, задержали независимого наблюдателя.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/society/695973.html?tg","","","","","","","","","","","","","",""
"","","","9845","message","2020-08-09T01:54:03","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","480","Ермошина: в случае большого скопления людей установим на участках пропускной режим.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/695977.html?tg","","","","","","","","","","","","","",""
"","","","9846","message","2020-08-09T02:12:44","","TUT.BY новости","9668803208","","1280","720","Вот такая очередь из белорусов, желающих проголосовать, собралась сегодня у посольства в Варшаве.","","","(File not included. Change data exporting settings to download.)","(File not included. Change data exporting settings to download.)","video_file","video/mp4","64","","","","","","","","",""
"","","","9847","message","2020-08-09T02:30:03","2020-08-09T02:31:06","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","1200","1200","В ЦИК рассказали, сколько белорусов проголосовало досрочно.","","","","","","","","","","","","","","","",""
"","","","9848","message","2020-08-09T02:52:01","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","411","Политтехнолога Шклярова признали политзаключенным.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/society/695981.html?tg","","","","","","","","","","","","","",""
"","","","9849","message","2020-08-09T02:57:29","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","480","Жители Минска сообщают о проблемах с Telegram, VPN и другими сервисами.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://42.tut.by/695983?tg","","","","","","","","","","","","","",""
"","","","9850","message","2020-08-09T03:30:02","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","479","Белорусы зарубежья стоят в очередях, чтобы проголосовать на президентских выборах.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/society/695985.html?tg","","","","","","","","","","","","","",""
"","","","9851","message","2020-08-09T03:54:28","2020-08-09T04:04:12","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","480","Штаб Тихановской: Семь человек из команды задержаны.\n\n","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","link","https://news.tut.by/economics/695988.html?tg","","","","","","","","","","","","","",""
"","","","9852","message","2020-08-09T04:10:50","","TUT.BY новости","9668803208","(File not included. Change data exporting settings to download.)","720","480","Явка на выборах президента на 10.00 составила 45,55%, сообщила Лидия Ермошина. Она также рассказала, что выборы состоялись в Гомельской и Могилевской областях — тут проголосовали более 50% избирателей.\n\n","","","","","","","","","","","","","","","",""
